bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
3,2.5,1990,7577,2.0,0,0,3,7,1990.0,0,1990,0,47.2908,-122.351,1900,7152
3,1.75,1350,9793,1.0,0,0,4,7,1350.0,0,1968,0,47.1981,-122.003,1690,8080
5,3.25,3320,11340,2.0,0,0,4,8,2480.0,840,1999,0,47.3904,-122.154,2330,8339
3,1.5,1340,7200,1.0,0,0,3,7,1340.0,0,1972,0,47.718,-122.193,1730,8820
4,2.0,1280,7560,1.0,0,0,5,6,1280.0,0,1959,0,47.45,-122.175,1250,7690
2,2.0,1350,3900,1.0,0,0,3,8,1350.0,0,2003,0,47.7094,-122.03,1440,3900
3,1.75,2320,6400,1.0,0,2,4,8,1420.0,900,1957,0,47.6449,-122.389,2540,7680
3,2.5,1910,5125,2.0,0,0,3,9,1910.0,0,2006,0,47.5481,-121.995,1910,3215
4,1.75,1820,7700,1.0,0,0,4,7,1100.0,720,1955,0,47.7545,-122.357,1700,8500
2,1.0,780,7200,1.0,0,0,2,6,780.0,0,1935,0,47.5609,-122.279,1750,7200
2,1.0,1060,4000,1.0,0,0,4,7,1060.0,0,1910,0,47.6731,-122.315,1770,4000
1,1.5,1010,5750,1.0,0,0,3,7,1010.0,0,1911,1948,47.5411,-122.392,1230,5750
5,3.5,4600,8764,2.0,0,0,3,10,3180.0,1420,2007,0,47.5491,-122.19,3210,9431
3,3.25,1470,1235,2.0,0,0,3,7,1180.0,290,2008,0,47.5537,-122.313,1470,1243
3,2.5,3680,203860,1.5,0,0,3,9,3680.0,0,1994,0,47.6903,-121.929,2410,144183
3,1.75,2400,14012,1.0,0,0,3,9,2400.0,0,1971,0,47.3371,-122.325,2800,13988
3,2.25,2300,12430,1.0,0,2,4,8,1580.0,720,1960,0,47.435,-122.347,2500,12430
3,1.5,1570,12412,1.0,0,3,3,8,1570.0,0,1954,0,47.438,-122.349,2130,12412
4,2.5,2700,4275,2.0,0,0,3,9,2700.0,0,2004,0,47.6725,-122.327,1810,4500
3,2.5,2450,7051,1.0,0,0,3,8,1870.0,580,1990,0,47.5308,-122.171,2450,8788
4,2.5,2640,47480,1.0,0,0,4,8,1590.0,1050,1979,0,47.4258,-122.021,2390,67415
2,2.0,840,14564,1.5,0,0,5,6,840.0,0,1942,0,47.5499,-122.36,1430,7920
4,2.25,2190,9009,2.0,0,0,4,8,1840.0,350,1977,0,47.6916,-122.188,2190,10251
6,2.5,3560,6480,2.5,0,0,4,11,3560.0,0,1914,0,47.627,-122.304,2780,6480
3,2.25,2390,4590,2.0,0,0,3,8,2090.0,300,1941,1998,47.6615,-122.276,2280,5179
5,2.75,2220,4000,1.0,0,0,3,7,1230.0,990,1973,0,47.5754,-122.305,1580,4000
3,2.5,3660,39478,2.0,0,2,4,9,3260.0,400,1989,0,47.2413,-121.972,2700,38312
4,1.75,1760,94525,1.5,0,0,3,7,1760.0,0,1988,0,47.5882,-122.07,3030,34848
